item_id,category,device_name,brand,department,purchase_year,age_years,weight_kg,condition_score,condition_class,power_watts,status,recommended_action,date_collected,contains_hazardous,replacement_cost,embodied_energy_kwh
EW-2026-0001,Monitor,"Samsung P2722H 27"" Monitor",Samsung,Sales & Marketing,2023,3,4.56,7,Good,26.9,In Use,Reuse,2024-02-06,No,320,750
EW-2026-0002,Mobile Device,Apple Galaxy Tab S7,Apple,Hardware R&D,2021,5,0.53,3,Poor,8.3,Processed,Recycle,2025-08-09,No,649,100
EW-2026-0003,Mobile Device,Google iPhone 12 Pro,Google,Software Engineering,2016,10,0.2,5,Fair,5.1,Collected,Repair,2025-02-15,No,999,80
EW-2026-0004,Storage,Seagate IronWolf 6TB NAS HDD,Seagate,Finance & Accounting,2020,6,0.64,8,Good,8.6,In Use,Reuse,2024-09-22,No,150,100
EW-2026-0005,Networking,TP-Link Catalyst 9300 48-Port Switch,TP-Link,Customer Operations,2015,11,7.44,5,Fair,73.4,In Use,Repair,2025-02-19,No,4500,500
EW-2026-0006,Peripheral,Logitech Canon imageCLASS LBP6030w,Logitech,Sales & Marketing,2015,11,5.29,2,Poor,38.0,In Use,Recycle,2025-08-11,No,150,200
EW-2026-0007,Storage,Kingston IronWolf 6TB NAS HDD,Kingston,IT Operations & Security,2021,5,0.63,5,Fair,8.0,Processed,Recycle,2025-08-17,No,150,100
EW-2026-0008,Mobile Device,Apple iPad Air (4th Gen),Apple,Software Engineering,2025,1,0.52,3,Poor,7.6,Processed,Recycle,2025-10-04,No,599,100
EW-2026-0009,Battery,HP Eaton 5S 1500VA UPS,HP,Finance & Accounting,2015,11,8.81,5,Fair,7.8,In Use,Repair,2025-12-01,No,260,250
EW-2026-0010,Monitor,"BenQ ViewSonic VG2448 24""",BenQ,Customer Operations,2019,7,3.49,3,Poor,19.1,Collected,Recycle,2025-05-06,No,200,750
EW-2026-0011,Peripheral,A4Tech MX Keys & Master 3 Combo,A4Tech,Finance & Accounting,2014,12,0.9,8,Good,5.1,In Use,Reuse,2024-04-09,No,200,50
EW-2026-0012,Networking,Netgear Nighthawk AX12 Router,Netgear,Hardware R&D,2025,1,1.78,6,Fair,17.7,Collected,Recycle,2025-05-01,No,350,200
EW-2026-0013,Computer,Apple EliteBook 840 G8 Laptop,Apple,Hardware R&D,2017,9,1.16,5,Fair,62.0,In Use,Repair,2024-08-04,No,1300,1200
EW-2026-0014,Peripheral,HP Epson EcoTank L3250,HP,Finance & Accounting,2025,1,4.63,8,Good,11.3,Processed,Reuse,2024-04-24,No,220,200
EW-2026-0015,Peripheral,Logitech Canon imageCLASS LBP6030w,Logitech,Hardware R&D,2023,3,4.41,8,Good,38.9,In Use,Reuse,2025-12-09,No,150,200
EW-2026-0016,Peripheral,Canon LaserJet Pro MFP M428fdw,Canon,Software Engineering,2022,4,12.89,6,Fair,47.8,Collected,Recycle,2025-04-21,No,450,300
EW-2026-0017,Mobile Device,Samsung Pixel 6 Pro,Samsung,Hardware R&D,2023,3,0.24,4,Fair,5.1,Processed,Recycle,2024-02-16,No,899,80
EW-2026-0018,Storage,Western Digital SanDisk Extreme Portable 1TB,Western Digital,IT Operations & Security,2014,12,0.05,6,Fair,3.1,Processed,Repair,2025-03-24,No,140,70
EW-2026-0019,Networking,Netgear Nighthawk AX12 Router,Netgear,Software Engineering,2024,2,1.4,7,Good,17.7,In Use,Reuse,2024-04-04,No,350,200
EW-2026-0020,Monitor,"Dell LG 27MP400 27""",Dell,Software Engineering,2016,10,4.1,9,Good,26.5,Collected,Reuse,2025-02-10,No,210,750
EW-2026-0021,Mobile Device,Samsung Galaxy Tab S7,Samsung,Finance & Accounting,2024,2,0.42,7,Good,8.4,Collected,Reuse,2024-02-29,No,649,100
EW-2026-0022,Battery,Eaton Eaton 5S 1500VA UPS,Eaton,Sales & Marketing,2013,13,11.34,9,Good,8.6,Processed,Reuse,2024-05-31,No,260,250
EW-2026-0023,Peripheral,Logitech K120 Wired Keyboard,Logitech,Customer Operations,2014,12,0.48,1,Hazardous,2.0,In Use,Dispose,2024-12-05,No,15,20
EW-2026-0024,Mobile Device,Xiaomi Galaxy Tab S7,Xiaomi,Customer Operations,2016,10,0.47,6,Fair,8.1,Collected,Repair,2024-03-17,No,649,100
EW-2026-0025,Computer,Lenovo ThinkCentre M90q Tiny,Lenovo,Software Engineering,2017,9,1.19,4,Fair,97.3,Collected,Repair,2024-03-27,No,750,1200
EW-2026-0026,Mobile Device,Xiaomi iPad Air (4th Gen),Xiaomi,IT Operations & Security,2015,11,0.48,5,Fair,7.5,Collected,Recycle,2026-02-08,No,599,100
EW-2026-0027,Storage,Samsung WD Red Plus 4TB HDD,Samsung,Customer Operations,2019,7,0.64,5,Fair,6.2,Processed,Recycle,2024-11-06,No,110,100
EW-2026-0028,Peripheral,A4Tech A4Tech FK10 Keyboard,A4Tech,Sales & Marketing,2016,10,0.6,6,Fair,1.9,Collected,Recycle,2024-01-16,No,12,20
EW-2026-0029,Monitor,"Samsung P2722H 27"" Monitor",Samsung,Finance & Accounting,2018,8,5.55,9,Good,25.7,Processed,Reuse,2025-12-03,No,320,750
EW-2026-0030,Storage,Western Digital Samsung 970 EVO 1TB SSD,Western Digital,Human Resources,2021,5,0.09,5,Fair,2.9,Collected,Recycle,2025-06-10,No,120,80
EW-2026-0031,Computer,Lenovo EliteBook 840 G8 Laptop,Lenovo,Sales & Marketing,2019,7,1.25,3,Poor,68.8,In Use,Recycle,2024-09-05,No,1300,1200
EW-2026-0032,Battery,Dell Back-UPS Pro BR1500MS,Dell,Customer Operations,2023,3,13.03,7,Good,8.6,In Use,Reuse,2025-09-29,No,300,250
EW-2026-0033,Networking,Juniper TL-SG1024 24-Port Switch,Juniper,Human Resources,2018,8,2.14,2,Poor,15.2,Processed,Recycle,2024-05-09,No,110,250
EW-2026-0034,Battery,APC Eaton 5S 1500VA UPS,APC,Software Engineering,2023,3,9.32,8,Good,8.4,Collected,Reuse,2025-04-29,No,260,250
EW-2026-0035,Battery,CyberPower Back-UPS Pro BR1500MS,CyberPower,Customer Operations,2017,9,14.23,9,Good,7.6,Collected,Reuse,2025-10-22,No,300,250
EW-2026-0036,Storage,Kingston Crucial MX500 2TB SSD,Kingston,Customer Operations,2014,12,0.08,9,Good,4.3,Collected,Reuse,2025-10-27,No,180,80
EW-2026-0037,Computer,"Lenovo MacBook Pro 16""",Lenovo,IT Operations & Security,2021,5,2.11,1,Hazardous,103.7,Collected,Dispose,2024-10-01,No,2400,1200
EW-2026-0038,Battery,Eaton CP1500PFCLCD UPS,Eaton,Software Engineering,2014,12,9.06,8,Good,8.8,Collected,Reuse,2026-01-30,No,280,250
EW-2026-0039,Mobile Device,Google Galaxy S21 Ultra,Google,Human Resources,2016,10,0.26,7,Good,5.6,Processed,Reuse,2024-12-20,No,1199,80
EW-2026-0040,Storage,Seagate Crucial MX500 2TB SSD,Seagate,Customer Operations,2018,8,0.12,2,Poor,4.0,Collected,Recycle,2024-10-29,No,180,80
EW-2026-0041,Peripheral,A4Tech Epson EcoTank L3250,A4Tech,Human Resources,2016,10,4.3,3,Poor,12.4,In Use,Recycle,2024-05-11,No,220,200
EW-2026-0042,Peripheral,HP LaserJet Pro MFP M428fdw,HP,Customer Operations,2015,11,13.18,1,Hazardous,48.6,Collected,Dispose,2025-02-18,No,450,300
EW-2026-0043,Networking,Ubiquiti TL-SG1024 24-Port Switch,Ubiquiti,IT Operations & Security,2022,4,1.95,9,Good,16.1,In Use,Reuse,2024-07-14,No,110,250
EW-2026-0044,Peripheral,A4Tech MX Keys & Master 3 Combo,A4Tech,IT Operations & Security,2023,3,0.65,7,Good,4.6,Processed,Reuse,2024-02-02,No,200,50
EW-2026-0045,Mobile Device,Apple Redmi Note 10 Pro,Apple,Sales & Marketing,2014,12,0.22,6,Fair,5.2,Collected,Recycle,2024-12-31,No,279,70
EW-2026-0046,Peripheral,Canon K120 Wired Keyboard,Canon,IT Operations & Security,2017,9,0.42,5,Fair,2.1,Processed,Recycle,2026-01-18,No,15,20
EW-2026-0047,Storage,Kingston Crucial MX500 2TB SSD,Kingston,Customer Operations,2022,4,0.09,2,Poor,4.2,Processed,Recycle,2025-11-16,No,180,80
EW-2026-0048,Battery,APC Laptop Battery 62Wh,APC,IT Operations & Security,2025,1,0.33,10,Good,0.0,Processed,Reuse,2025-09-05,No,70,50
EW-2026-0049,Monitor,"Samsung ViewSonic VG2448 24""",Samsung,Finance & Accounting,2023,3,3.94,8,Good,19.6,Collected,Reuse,2024-04-18,No,200,750
EW-2026-0050,Battery,Dell Eaton 5S 1500VA UPS,Dell,IT Operations & Security,2020,6,11.58,5,Fair,8.5,Processed,Repair,2025-05-13,No,260,250
EW-2026-0051,Storage,Western Digital Crucial MX500 2TB SSD,Western Digital,Finance & Accounting,2021,5,0.08,6,Fair,4.2,Processed,Recycle,2024-08-21,No,180,80
EW-2026-0052,Monitor,"ViewSonic P2722H 27"" Monitor",ViewSonic,Human Resources,2015,11,5.57,1,Hazardous,26.2,Collected,Dispose,2025-05-04,Yes,320,750
EW-2026-0053,Mobile Device,Google iPad Air (4th Gen),Google,Software Engineering,2016,10,0.51,1,Hazardous,8.7,In Use,Dispose,2024-02-15,No,599,100
EW-2026-0054,Mobile Device,Xiaomi Redmi Note 10 Pro,Xiaomi,Finance & Accounting,2020,6,0.18,1,Hazardous,5.4,Collected,Dispose,2024-03-24,Yes,279,70
EW-2026-0055,Monitor,"ViewSonic P2722H 27"" Monitor",ViewSonic,Finance & Accounting,2023,3,4.12,4,Fair,26.0,Processed,Recycle,2024-12-17,No,320,750
EW-2026-0056,Monitor,"Dell LG 27MP400 27""",Dell,Software Engineering,2014,12,4.31,4,Fair,29.1,In Use,Repair,2025-09-18,No,210,750
EW-2026-0057,Computer,"ASUS iMac 27"" Retina",ASUS,IT Operations & Security,2016,10,8.35,4,Fair,145.7,Processed,Recycle,2024-10-19,No,1800,1200
EW-2026-0058,Computer,"HP MacBook Pro 16""",HP,IT Operations & Security,2024,2,1.75,2,Poor,98.0,Collected,Recycle,2024-11-11,No,2400,1200
EW-2026-0059,Monitor,"BenQ LG 27MP400 27""",BenQ,Hardware R&D,2014,12,4.26,1,Hazardous,30.3,In Use,Dispose,2025-12-29,Yes,210,750
EW-2026-0060,Peripheral,Logitech LaserJet Pro MFP M428fdw,Logitech,Hardware R&D,2015,11,13.58,4,Fair,54.7,In Use,Recycle,2026-02-23,No,450,300
EW-2026-0061,Peripheral,Epson Epson EcoTank L3250,Epson,Hardware R&D,2018,8,3.34,4,Fair,11.0,Processed,Repair,2024-06-22,No,220,200
EW-2026-0062,Networking,Ubiquiti Juniper EX2300 Switch,Ubiquiti,Hardware R&D,2023,3,2.75,9,Good,58.3,Processed,Reuse,2025-03-20,No,1200,400
EW-2026-0063,Monitor,"Samsung LG 27MP400 27""",Samsung,Human Resources,2018,8,3.8,7,Good,30.5,Processed,Reuse,2025-11-01,No,210,750
EW-2026-0064,Mobile Device,Apple Redmi Note 10 Pro,Apple,Software Engineering,2017,9,0.15,10,Good,5.3,In Use,Reuse,2025-02-23,No,279,70
EW-2026-0065,Computer,Dell EliteDesk 800 G6 Desktop,Dell,Finance & Accounting,2015,11,7.29,2,Poor,172.5,Collected,Recycle,2026-03-06,No,900,1200
EW-2026-0066,Networking,Cisco Juniper EX2300 Switch,Cisco,Sales & Marketing,2025,1,3.19,6,Fair,54.6,Collected,Recycle,2024-11-17,No,1200,400
EW-2026-0067,Monitor,"LG ViewSonic VG2448 24""",LG,Finance & Accounting,2021,5,3.78,6,Fair,18.1,In Use,Repair,2024-12-05,No,200,750
EW-2026-0068,Battery,CyberPower Back-UPS Pro BR1500MS,CyberPower,Customer Operations,2020,6,13.3,9,Good,8.7,Processed,Reuse,2025-08-08,No,300,250
EW-2026-0069,Mobile Device,Samsung Pixel 6 Pro,Samsung,Customer Operations,2018,8,0.23,4,Fair,4.6,Collected,Recycle,2024-03-16,No,899,80
EW-2026-0070,Peripheral,HP Epson EcoTank L3250,HP,Hardware R&D,2021,5,4.01,10,Good,11.7,Processed,Reuse,2024-06-05,No,220,200
EW-2026-0071,Peripheral,A4Tech K120 Wired Keyboard,A4Tech,Customer Operations,2022,4,0.47,10,Good,2.0,Collected,Reuse,2025-02-26,No,15,20
EW-2026-0072,Networking,TP-Link Catalyst 9300 48-Port Switch,TP-Link,Hardware R&D,2024,2,8.58,3,Poor,84.3,Collected,Recycle,2024-05-18,No,4500,500
EW-2026-0073,Computer,"Dell iMac 27"" Retina",Dell,Sales & Marketing,2017,9,7.58,6,Fair,152.5,In Use,Recycle,2024-12-24,No,1800,1200
EW-2026-0074,Monitor,"BenQ Samsung S24R350 24""",BenQ,Customer Operations,2015,11,3.28,10,Good,21.0,Processed,Reuse,2024-06-29,No,180,750
EW-2026-0075,Mobile Device,Xiaomi iPhone 12 Pro,Xiaomi,Finance & Accounting,2015,11,0.18,6,Fair,5.4,Collected,Recycle,2024-04-19,No,999,80
EW-2026-0076,Mobile Device,Apple Pixel 6 Pro,Apple,Hardware R&D,2019,7,0.23,1,Hazardous,4.6,Collected,Dispose,2024-01-10,No,899,80
EW-2026-0077,Computer,Dell Latitude 5420 Laptop,Dell,Sales & Marketing,2018,8,1.43,8,Good,68.1,Processed,Reuse,2024-03-20,No,1100,1200
EW-2026-0078,Monitor,"ViewSonic BenQ GW2780 27""",ViewSonic,IT Operations & Security,2024,2,4.14,8,Good,27.4,In Use,Reuse,2025-05-12,No,230,750
EW-2026-0079,Storage,Crucial IronWolf 6TB NAS HDD,Crucial,Human Resources,2025,1,0.57,5,Fair,7.7,Collected,Repair,2025-09-21,No,150,100
EW-2026-0080,Storage,Crucial SanDisk Extreme Portable 1TB,Crucial,Sales & Marketing,2015,11,0.04,9,Good,3.0,Collected,Reuse,2024-10-03,No,140,70
EW-2026-0081,Peripheral,Canon Canon imageCLASS LBP6030w,Canon,Sales & Marketing,2015,11,5.46,7,Good,39.0,Collected,Reuse,2024-09-02,No,150,200
EW-2026-0082,Storage,Samsung Crucial MX500 2TB SSD,Samsung,Software Engineering,2016,10,0.11,3,Poor,4.3,Collected,Recycle,2024-08-16,No,180,80
EW-2026-0083,Storage,Crucial Crucial MX500 2TB SSD,Crucial,Hardware R&D,2018,8,0.12,10,Good,3.7,In Use,Reuse,2024-08-03,No,180,80
EW-2026-0084,Monitor,"Dell LG 27MP400 27""",Dell,Human Resources,2024,2,3.95,9,Good,27.1,In Use,Reuse,2024-08-14,No,210,750
EW-2026-0085,Networking,TP-Link Catalyst 9300 48-Port Switch,TP-Link,Customer Operations,2017,9,8.02,10,Good,74.2,In Use,Reuse,2026-02-21,No,4500,500
EW-2026-0086,Computer,Apple OptiPlex 7080 Desktop,Apple,Customer Operations,2013,13,7.54,6,Fair,178.7,In Use,Repair,2025-03-15,No,850,1200
EW-2026-0087,Mobile Device,Apple Pixel 6 Pro,Apple,Software Engineering,2015,11,0.19,5,Fair,5.4,Collected,Recycle,2025-10-06,No,899,80
EW-2026-0088,Mobile Device,Apple Redmi Note 10 Pro,Apple,Sales & Marketing,2017,9,0.22,1,Hazardous,4.7,Processed,Dispose,2025-05-15,Yes,279,70
EW-2026-0089,Mobile Device,Apple Redmi Note 10 Pro,Apple,Human Resources,2021,5,0.17,10,Good,5.5,Processed,Reuse,2025-10-24,No,279,70
EW-2026-0090,Storage,Western Digital Crucial MX500 2TB SSD,Western Digital,Hardware R&D,2020,6,0.11,4,Fair,4.2,Collected,Repair,2024-01-23,No,180,80
EW-2026-0091,Battery,HP Back-UPS Pro BR1500MS,HP,Finance & Accounting,2013,13,10.84,8,Good,7.7,In Use,Reuse,2024-12-03,No,300,250
EW-2026-0092,Computer,"ASUS iMac 27"" Retina",ASUS,Hardware R&D,2025,1,7.74,5,Fair,131.5,Collected,Repair,2024-04-13,No,1800,1200
EW-2026-0093,Storage,Western Digital SanDisk Extreme Portable 1TB,Western Digital,Sales & Marketing,2024,2,0.06,1,Hazardous,2.9,Processed,Dispose,2025-02-28,No,140,70
EW-2026-0094,Storage,Seagate SanDisk Extreme Portable 1TB,Seagate,Software Engineering,2021,5,0.05,1,Hazardous,3.1,In Use,Dispose,2024-03-10,No,140,70
EW-2026-0095,Networking,Ubiquiti Nighthawk AX12 Router,Ubiquiti,Finance & Accounting,2025,1,1.56,2,Poor,19.5,In Use,Recycle,2024-09-05,No,350,200
EW-2026-0096,Computer,"Apple iMac 27"" Retina",Apple,Finance & Accounting,2015,11,10.44,1,Hazardous,146.7,Collected,Dispose,2025-06-07,No,1800,1200
EW-2026-0097,Peripheral,A4Tech A4Tech FK10 Keyboard,A4Tech,Sales & Marketing,2013,13,0.64,10,Good,2.2,Collected,Reuse,2024-01-30,No,12,20
EW-2026-0098,Battery,HP Laptop Battery 62Wh,HP,Customer Operations,2019,7,0.38,6,Fair,0.0,In Use,Recycle,2025-04-20,No,70,50
EW-2026-0099,Computer,ASUS Latitude 5420 Laptop,ASUS,Customer Operations,2013,13,1.25,9,Good,63.5,Collected,Reuse,2024-06-07,No,1100,1200
EW-2026-0100,Monitor,"BenQ Samsung S24R350 24""",BenQ,Finance & Accounting,2019,7,2.9,8,Good,22.2,Collected,Reuse,2025-05-28,No,180,750
